nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,80531,LAMPUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,11096,KEP. BANGKA BELITUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,14423,KEP. RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,59935,DKI JAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,490174,JAWA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,355665,JAWA TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,25920,DI YOGYAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,360521,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,107263,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,3597,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,54025,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,3707,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,27805,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,19475,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,30500,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,37422,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,0,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,8717,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,21416,SULAWESI TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,76870,SULAWESI SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,20222,SULAWESI TENGGARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,10116,GORONTALO
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,8886,SULAWESI BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,7767,MALUKU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,9725,MALUKU UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,3107,PAPUA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,4876,PAPUA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,2210046,INDONESIA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,3775,ACEH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,7806,SUMATERA UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,5564,SUMATERA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,8306,RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,2905,JAMBI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,5965,SUMATERA SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,2091,BENGKULU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,4894,LAMPUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2013,Tahun,2048,KEP. BANGKA BELITUNG
